==== Quarterly finances between 1999-2019 for a non-existent company ====
Generated using a simulation in MATLAB R2019b.
Import using 'readtimetable'.

Net Sales,Cost of Sales,Gross Margin,Research and Development Expenses,Administrative Expenses,Total Operating Expenses,Net Income,Total Shares,Earnings per Share
$83941.55,$37967.5,$45974.05,$17209.73,$2000.9,$19210.63,$26763.42,1507,$17.76
$69098.29,$35610.26,$33488.03,$16116,$1405.6,$17521.59,$15966.43,1438,$11.1
$80005.16,$37531.54,$42473.62,$18465.88,$1482.97,$19948.85,$22524.77,1324,$17.01
$86233.6,$39051.54,$47182.06,$17346.22,$1878.02,$19224.24,$27957.82,1701,$16.44
$94291.85,$40912.27,$53379.57,$17511.02,$1722.09,$19233.11,$34146.47,1697,$20.12
$79117.3,$38586.62,$40530.68,$19279.63,$1700.71,$20980.34,$19550.34,1667,$11.73
$79924.89,$39647.9,$40276.99,$19617.76,$1577.09,$21194.85,$19082.14,1424,$13.4
$91429.6,$40985.74,$50443.85,$20269.24,$2014.04,$22283.27,$28160.58,1440,$19.56
$99579.14,$42196.03,$57383.11,$19544.1,$2018.83,$21562.93,$35820.18,1686,$21.25
$86961.74,$43110.38,$43851.36,$20872.37,$1757.61,$22629.97,$21221.39,1697,$12.51
$87849.39,$42646.06,$45203.33,$21027.73,$1721.22,$22748.95,$22454.38,1496,$15.01
$98652.49,$44171.19,$54481.3,$22501.77,$2055.21,$24556.98,$29924.32,1865,$16.05
$106280.78,$45979.85,$60300.93,$23302.56,$2225.78,$25528.34,$34772.59,1863,$18.66
$93623.44,$45111,$48512.44,$23388.61,$1685.37,$25073.98,$23438.45,1630,$14.38
$98088.12,$46238.09,$51850.04,$23868.64,$1857.5,$25726.14,$26123.89,1775,$14.72
$105392.84,$46925.46,$58467.38,$24238.12,$1837.27,$26075.39,$32391.99,1622,$19.97
$105928.03,$49399.77,$56528.26,$23576.2,$2331.64,$25907.84,$30620.42,1657,$18.48
$100213.66,$47849.22,$52364.44,$25346.64,$1613.54,$26960.18,$25404.26,1971,$12.89
$101283.39,$50085.33,$51198.05,$25471.43,$1950.22,$27421.65,$23776.4,1678,$14.17
$109472.29,$51403.2,$58069.09,$25036.12,$2278.43,$27314.55,$30754.54,1991,$15.45
$118430.82,$52097.55,$66333.27,$26010.31,$2413.72,$28424.03,$37909.24,1778,$21.32
$102746.88,$51770.92,$50975.96,$26595.7,$1901.31,$28497.01,$22478.96,1957,$11.49
$108956.08,$51253.39,$57702.69,$27994.79,$2077.53,$30072.32,$27630.37,1901,$14.53
$119705.46,$53315.31,$66390.15,$27587.11,$2060.27,$29647.39,$36742.77,1886,$19.48
$122310.98,$55269.74,$67041.24,$29041.07,$2390.12,$31431.2,$35610.05,2076,$17.15
$111050.91,$54140.87,$56910.04,$28351.12,$1827.26,$30178.38,$26731.65,1954,$13.68
$116662.26,$56093.83,$60568.43,$28542.46,$2016.63,$30559.09,$30009.33,2162,$13.88
$124528.77,$55808.38,$68720.39,$30603.04,$2337.57,$32940.61,$35779.78,1910,$18.73
$130603.37,$56677.9,$73925.47,$31188.47,$2496.31,$33684.78,$40240.69,2060,$19.53
$117813.82,$56071.98,$61741.84,$30557.4,$2173.21,$32730.61,$29011.23,1930,$15.03
$121035.47,$58677.26,$62358.21,$30596.89,$2181.87,$32778.76,$29579.45,2097,$14.11
$125747.18,$58803.75,$66943.43,$31872.99,$2191.63,$34064.62,$32878.81,2204,$14.92
$133245.64,$61492.15,$71753.48,$33419.32,$2603.33,$36022.65,$35730.83,1921,$18.6
$120092.46,$59921.11,$60171.36,$32297.84,$2172.31,$34470.15,$25701.21,1994,$12.89
$130845.04,$61210.57,$69634.47,$32821.57,$2070.25,$34891.82,$34742.65,2320,$14.98
$132087.98,$61704.64,$70383.34,$34731.57,$2263.58,$36995.15,$33388.19,2292,$14.57
$143196.81,$63923.07,$79273.74,$34030.28,$2556.34,$36586.62,$42687.12,2109,$20.24
$132597.64,$63000.21,$69597.43,$35490.27,$2087.9,$37578.17,$32019.26,2384,$13.43
$138432,$64691.29,$73740.71,$36141.57,$2189.75,$38331.32,$35409.39,2225,$15.91
$145157.29,$64521.55,$80635.75,$36641.09,$2427.28,$39068.37,$41567.38,2258,$18.41
$147887.56,$65868.86,$82018.7,$37031.96,$2674.98,$39706.94,$42311.76,2151,$19.67
$135238.13,$65990.43,$69247.7,$37256.76,$2447.5,$39704.26,$29543.44,2352,$12.56
$144064.07,$66709.23,$77354.84,$36606,$2538.18,$39144.19,$38210.65,2413,$15.84
$151809.98,$68239.85,$83570.12,$37078.91,$2390.08,$39468.99,$44101.13,2477,$17.8
$152067.22,$69113.74,$82953.47,$38894.59,$2615.98,$41510.58,$41442.9,2485,$16.68
$143560.88,$68240.84,$75320.04,$38658.8,$2489.78,$41148.57,$34171.46,2485,$13.75
$151886.23,$70325.27,$81560.96,$40034.23,$2412.58,$42446.81,$39114.15,2516,$15.55
$158148.26,$70401.76,$87746.5,$39869.53,$2486.56,$42356.1,$45390.4,2211,$20.53
$160597.83,$72878.61,$87719.22,$40351.93,$2791.38,$43143.31,$44575.9,2475,$18.01
$148582.24,$72202.9,$76379.34,$40215.08,$2629.82,$42844.9,$33534.44,2244,$14.94
$153872.44,$73083.76,$80788.68,$40529.75,$2750.15,$43279.9,$37508.78,2358,$15.91
$158442.9,$75097.84,$83345.06,$41183.92,$2688.74,$43872.66,$39472.4,2550,$15.48
$164800.13,$75722.62,$89077.5,$43136.69,$2709.54,$45846.23,$43231.27,2460,$17.57
$157314.8,$73923.75,$83391.04,$42323.54,$2363.34,$44686.89,$38704.15,2710,$14.28
$157706.51,$76810.24,$80896.27,$42592.9,$2795.8,$45388.69,$35507.57,2363,$15.03
$165502.06,$76733.51,$88768.56,$44887.36,$2732.2,$47619.56,$41149,2694,$15.27
$176838.4,$77741.76,$99096.64,$45233.85,$2811.51,$48045.36,$51051.28,2688,$18.99
